,index,Date,Min_Temp,Max_Temp
2845,5435,2015-10-17,-130,406
2846,5436,2015-02-21,-172,372
2853,5444,2015-12-03,-211,323
2859,5453,2015-06-02,-29,448
2861,5456,2015-08-30,22,391
2877,5482,2015-12-06,-203,349
2885,5490,2015-10-15,-122,394
2903,5514,2015-07-29,14,424
2913,5529,2015-02-09,-213,308
2917,5535,2015-10-25,-77,370
2922,5543,2015-06-13,-7,428
2925,5548,2015-05-02,-58,445
2929,5553,2015-03-27,-150,429
2936,5564,2015-12-05,-126,326
2953,5607,2015-07-28,6,408
2956,5613,2015-01-08,-235,322
2967,5638,2015-02-11,-253,315
2984,5669,2015-06-12,-23,433
2993,5679,2015-07-27,-11,397
2998,5688,2015-11-22,-157,360
3011,5706,2015-05-03,-87,449
3022,5721,2015-08-07,9,376
3060,5817,2015-09-08,-8,398
3084,5908,2015-10-16,-55,396
3090,5941,2015-12-04,-194,333
3111,6013,2015-08-06,12,376
3132,6053,2015-12-02,-219,319
3150,6084,2015-02-08,-208,305
3156,6098,2015-05-11,-90,433
3166,6112,2015-05-04,-71,446
3167,6114,2015-06-14,-1,420
3183,6140,2015-02-23,-146,378
3186,6147,2015-06-03,-1,425
3195,6174,2015-10-18,-128,405
3213,6246,2015-07-25,-19,430
3238,6318,2015-10-14,-112,388
3241,6346,2015-06-10,-52,458
3264,6397,2015-11-21,-153,347
3282,6465,2015-07-26,-22,374
3284,6468,2015-08-08,2,386
3292,6501,2015-03-29,-125,410
3302,6541,2015-02-12,-236,344
3303,6545,2015-11-23,-174,357
3304,6546,2015-05-01,-86,445
3311,6583,2015-12-07,-187,349
3330,6737,2015-02-18,-150,356
3347,6756,2015-06-06,-19,442
3361,6772,2015-06-21,-27,462
3373,6788,2015-05-07,-24,448
3386,6803,2015-10-08,-68,396
3392,6809,2015-04-26,-109,433
3396,6818,2015-12-15,-236,305
3402,6824,2015-02-16,-237,355
3427,6853,2015-02-17,-184,346
3430,6856,2015-03-23,-113,415
3439,6866,2015-06-05,-21,424
3446,6874,2015-05-06,-79,443
3461,6893,2015-09-15,-3,418
3464,6896,2015-11-17,-180,332
3479,6913,2015-05-28,-36,454
3488,6926,2015-01-11,-299,318
3489,6927,2015-09-03,11,376
3510,6952,2015-03-24,-177,407
3517,6961,2015-09-14,-19,420
3554,7011,2015-02-19,-220,347
3556,7013,2015-02-02,-226,302
3565,7026,2015-02-03,-211,314
3575,7042,2015-03-22,-156,412
3585,7058,2015-07-18,-30,414
3608,7094,2015-10-30,-123,324
3611,7097,2015-06-07,-11,448
3642,7143,2015-05-13,-45,428
3645,7147,2015-09-04,16,387
3651,7162,2015-10-10,-95,396
3653,7166,2015-08-02,16,343
3677,7204,2015-07-20,2,398
3678,7207,2015-11-27,-169,329
3684,7215,2015-04-27,-85,440
3691,7226,2015-10-21,-83,384
3707,7253,2015-08-12,19,377
3711,7267,2015-03-15,-157,367
3724,7288,2015-08-04,41,385
3729,7295,2015-11-16,-192,343
3734,7302,2015-11-26,-184,342
3736,7306,2015-10-09,-50,392
3738,7308,2015-04-03,-73,410
3746,7319,2015-12-13,-255,310
3766,7362,2015-03-16,-97,348
3767,7363,2015-02-01,-236,318
3783,7412,2015-04-04,-73,414
3802,7455,2015-02-26,-168,380
3813,7480,2015-01-05,-216,296
3828,7516,2015-06-19,9,451
3830,7519,2015-11-28,-176,326
3840,7548,2015-08-03,12,378
3846,7561,2015-08-27,19,391
3865,7626,2015-07-19,-16,414
3867,7637,2015-10-23,-117,392
3876,7683,2015-12-14,-220,294
3878,7687,2015-04-02,-96,399
3879,7689,2015-07-21,-18,390
3895,7734,2015-12-12,-177,308
3901,7758,2015-10-22,-120,392
3904,7769,2015-01-10,-317,312
3916,7807,2015-09-13,-26,416
3923,7825,2015-02-27,-131,348
3947,7907,2015-10-29,-115,325
3982,8057,2015-06-18,6,441
3990,8088,2015-01-01,-287,271
4000,8170,2015-06-20,-28,462
